,date,I,I_t
0,2020-01-22,0,0.0
1,2020-01-23,0,0.0
2,2020-01-24,0,0.0
3,2020-01-25,0,0.0
4,2020-01-26,0,0.0
5,2020-01-27,1,1.0
6,2020-01-28,4,4.0
7,2020-01-29,4,0.0
8,2020-01-30,4,0.0
9,2020-01-31,5,0.0
10,2020-02-01,8,0.0
11,2020-02-02,10,0.0
12,2020-02-03,12,20.2751994097466
13,2020-02-04,12,9.937270028161816
14,2020-02-05,12,18.657890359967137
15,2020-02-06,12,30.453392761919936
16,2020-02-07,13,28.771587996116963
17,2020-02-08,13,18.530841124057503
18,2020-02-09,14,15.219551235566588
19,2020-02-10,14,12.870097895562049
20,2020-02-11,16,13.803221461005371
21,2020-02-12,16,14.804136009017965
22,2020-02-13,15,15.877556697341944
23,2020-02-14,15,17.20068633554647
24,2020-02-15,15,19.78539177741624
25,2020-02-16,15,17.27139742446723
26,2020-02-17,15,17.27139742446723
27,2020-02-18,4,13.90973157488157
28,2020-02-19,4,13.909654470259865
29,2020-02-20,4,13.985907103726149
30,2020-02-21,2,6.945176188268633
31,2020-02-22,2,3.2158239854103146
32,2020-02-23,2,1.125919265797241
33,2020-02-24,2,0.0659026598740808
34,2020-02-25,3,1.5012470173321038
35,2020-02-26,12,0.919728041149404
36,2020-02-27,30,0.6043505840151087
37,2020-02-28,32,3.0439226819338936
38,2020-02-29,63,30.654071057626677
39,2020-03-01,114,202.1295684341636
40,2020-03-02,143,329.151367517297
41,2020-03-03,180,652.1211036869155
42,2020-03-04,246,603.5791655671317
43,2020-03-05,466,493.1122512984877
44,2020-03-06,653,746.1709731490556
45,2020-03-07,781,729.8576697684683
46,2020-03-08,1022,1148.2694456044535
47,2020-03-09,1156,2043.3987298953648
48,2020-03-10,1437,2572.019588662186
49,2020-03-11,1880,3277.399058890293
50,2020-03-12,2050,2499.511515860305
51,2020-03-13,3622,2647.010188623044
52,2020-03-14,4530,3396.568321845153
53,2020-03-15,5738,3602.82387737373
54,2020-03-16,7188,7133.719735454895
55,2020-03-17,9166,10928.968936827903
56,2020-03-18,12194,13343.708094463274
57,2020-03-19,15163,20614.397102680006
58,2020-03-20,19601,18116.21302612073
59,2020-03-21,21896,24298.830310156853
60,2020-03-22,24513,30776.42828604411
61,2020-03-23,28667,41343.94404509865
62,2020-03-24,29586,45595.49235127075
63,2020-03-25,33570,45792.71906543764
64,2020-03-26,37998,46452.89330788451
65,2020-03-27,43871,42066.15094830252
66,2020-03-28,48781,46812.2972556184
67,2020-03-29,52351,52343.8708821732
68,2020-03-30,52740,57686.18432099682
69,2020-03-31,54933,72438.02221406104
70,2020-04-01,58252,76514.15402623528
71,2020-04-02,61247,75179.30883016856
72,2020-04-03,65309,66745.14402954791
73,2020-04-04,68248,64525.442519260745
74,2020-04-05,69839,67779.8598560025
75,2020-04-06,72864,74811.79014947647
76,2020-04-07,69566,81608.77751002551
77,2020-04-08,64647,81196.1089221774
78,2020-04-09,63167,84614.07043787277
79,2020-04-10,65491,78374.24483224496
80,2020-04-11,64772,71178.53671718761
81,2020-04-12,64532,60062.46282335364
82,2020-04-13,62578,55064.59786406736
83,2020-04-14,59865,58869.4668998213
